product_categories,total_orders,total_revenue,average_review,average_delivery_days
health_beauty,8766,1431958.93,4.1880626747883385,12.118647738286427
watches_gifts,5584,1299043.43,4.073324905183313,12.83686288043958
bed_bath_table,9219,1215697.76,3.989578762615182,13.046883875369861
sports_leisure,7653,1149968.94,4.177979479084452,12.269003007429243
computers_accessories,6638,1052547.18,4.031600484995453,13.19687031070467
furniture_decor,6246,877181.43,4.042117153461352,13.19007316976067
housewares,5782,769593.9,4.162166869883295,11.12444466603636
cool_stuff,3566,710395.83,4.196433625813756,12.424223390564196
auto,3862,682078.2,4.102941176470588,12.341781573239906
garden_tools,3445,574965.8,4.166179906542056,13.70315694608956
toys,3836,556609.53,4.19892190376019,11.768051337832238
baby,2792,468363.65,4.0706031058143735,12.772995703615067
perfumery,3136,451069.1,4.2114276568501925,11.942212269728088
telephony,4172,392993.02,4.011108427915962,12.975510915951613
office_furniture,1258,339152.81,3.6318108974358974,20.745649652123877
stationery,2280,275309.21,4.25684628975265,12.832050746587385
pet_shop,1700,253662.87,4.246599645180367,11.402755926367368
computers,180,231394.34,4.192090395480226,13.94064032249579
musical_instruments,621,209528.93,4.183739837398374,13.164979457934756
small_appliances,624,205101.78,4.190938511326861,11.02665806768626
electronics,2527,203016.83,4.101674641148326,12.961688710312156
fashion_bags_accessories,1853,184036.91,4.186279826464208,11.25751353610651
consoles_games,1054,176615.21,4.0761494252873565,13.82351547029703
luggage_accessories,1019,168806.5,4.340886699507389,10.900001383355466
construction_tools_construction,731,163341.64,4.103994490358127,10.908583085432442
home_appliances_2,233,123717.8,4.138528138528138,13.884754844723041
home_appliances,764,94990.43,4.160096364432764,11.311721128340524
home_construction,464,91268.44,4.078091106290673,13.562417006037766
furniture_living_room,407,84287.49,4.067164179104478,14.104360815232527
agro_industry_and_commerce,182,78374.07,4.021978021978022,11.432300428960033
fixed_telephony,215,63998.26,3.891509433962264,12.59972547398589
air_conditioning,251,61541.52,4.044534412955466,11.9118220154068
home_confort,347,60706.89,3.9507246376811596,13.811492378709119
kitchen_dining_laundry_garden_furniture,242,57744.61,4.0625,11.994362046887312
books_general_interest,507,55832.15,4.467196819085487,11.5557002787226
audio,344,55352.1,3.846041055718475,13.512990138347412
small_appliances_home_oven_and_coffee,75,50193.57,4.293333333333333,9.927397762345679
industry_commerce_and_business,231,46949.31,4.218340611353712,10.92542273413281
construction_tools_lights,226,45601.2,4.201793721973094,9.79320152323082
construction_tools_safety,160,43075.7,3.8742138364779874,11.714350252802143
food,442,35883.49,4.281464530892449,9.838549044136515
market_place,268,32603.93,4.078947368421052,12.50266283220243
costruction_tools_garden,185,28899.82,4.248648648648649,11.959289313484756
fashion_shoes,238,28382.69,4.228632478632479,15.739348225639803
signaling_and_security,139,27919.83,4.131386861313868,10.877557447958909
art,196,27658.37,4.061855670103093,11.406297827258475
drinks,289,27483.97,4.170138888888889,10.451560301340766
furniture_bedroom,92,23856.510000000002,4.168478260869565,13.945071706045127
books_technical,256,23170.45,4.4189723320158105,10.644973958333335
food_drink,223,19505.13,4.382882882882883,10.90133032514081
costruction_tools_tools,97,17934.170000000002,4.425531914893617,12.209838082283314
"bed_bath_table, furniture_decor",67,16534.67,3.1363636363636362,11.397874170812603
fashion_male_clothing,112,13015.23,3.7027027027027026,12.85953692784766
christmas_supplies,127,11983.56,4.048,15.476627650836319
fashion_underwear_beach,121,11457.74,3.933333333333333,14.00258270022159
"bed_bath_table, home_confort",42,10553.75,3.5238095238095237,13.576563051146385
tablets_printing_image,76,8483.71,4.162162162162162,13.11042565180312
cine_photo,63,7881.9800000000005,4.333333333333333,10.587523907103826
dvds_blu_ray,57,7146.39,4.071428571428571,13.088238168724281
music,36,6620.0199999999995,4.388888888888889,11.790292566872429
"baby, cool_stuff",19,6370.2300000000005,2.526315789473684,11.609708211500974
furniture_mattress_and_upholstery,38,5998.54,3.8157894736842106,14.432969532032033
books_imported,53,5441.41,4.320754716981132,8.178885185185186
"furniture_decor, garden_tools",16,5440.83,2.4375,11.36029552469136
party_supplies,38,5219.96,4.0,9.05474411911912
"bed_bath_table, housewares",20,5153.55,3.3,7.3787523148148155
"furniture_decor, housewares",22,4610.32,3.1363636363636362,8.083452756734006
"construction_tools_lights, furniture_decor",11,4305.469999999999,3.3636363636363638,8.99900989057239
portateis_cozinha_e_preparadores_de_alimentos,14,4278.29,3.4285714285714284,8.442662927350428
"furniture_decor, home_construction",11,4173.99,2.3636363636363638,7.839599116161616
"computers_accessories, garden_tools",9,4057.34,3.111111111111111,9.68507667824074
"baby, toys",19,3839.5299999999997,3.5789473684210527,8.600434332358674
"baby, bed_bath_table",15,3536.23,2.7333333333333334,10.676733024691357
fashio_female_clothing,38,3337.65,3.776315789473684,12.63978240740741
"furniture_decor, furniture_living_room",7,2766.67,2.7142857142857144,6.652212301587302
"audio, watches_gifts",6,2738.2799999999997,3.1666666666666665,11.023186728395062
"health_beauty, perfumery",12,2636.65,3.8333333333333335,7.251975308641975
"construction_tools_lights, sports_leisure",3,2609.4900000000002,4.0,15.8072762345679
"sports_leisure, watches_gifts",5,2587.6099999999997,3.6,9.034136574074074
"health_beauty, sports_leisure",13,2579.94,2.769230769230769,7.41073717948718
fashion_sport,25,2543.42,4.4,10.293810281635803
"garden_tools, housewares",11,2514.34,2.5454545454545454,11.15526515151515
"housewares, sports_leisure",11,2333.15,2.4545454545454546,10.066428872053871
"computers_accessories, electronics",5,2267.6800000000003,3.4,8.938143518518519
la_cuisine,11,2216.62,4.545454545454546,7.089791666666667
"baby, furniture_decor",11,2191.14,2.909090909090909,8.245026304713805
diapers_and_hygiene,27,2141.27,3.740740740740741,10.486374074074075
arts_and_craftmanship,21,2131.0,4.285714285714286,5.682439373897707
"garden_tools, home_construction",6,2008.8799999999999,1.3333333333333333,14.665788966049384
"construction_tools_construction, garden_tools",5,2004.79,3.4,11.087372685185183
"cool_stuff, toys",7,1946.03,3.857142857142857,13.161956018518518
"construction_tools_safety, home_construction",2,1821.4,1.0,16.44078125
"bed_bath_table, health_beauty",11,1785.24,3.727272727272727,7.385607112794613
"construction_tools_lights, costruction_tools_garden",1,1768.4,4.0,9.838993055555555
"bed_bath_table, cool_stuff",8,1643.77,2.4375,8.091396122685186
"computers, furniture_decor",1,1543.25,1.0,8.545127314814815
pc_gamer,7,1529.49,3.4285714285714284,10.20546875
"bed_bath_table, office_furniture",4,1512.39,1.75,9.500844907407407
flowers,27,1491.82,4.538461538461538,11.821306584362139
"furniture_decor, home_confort",5,1359.0,2.4,12.045881944444446
"bed_bath_table, market_place",1,1349.04,4.0,3.189039351851852
"luggage_accessories, stationery",5,1297.52,4.0,7.846618055555555
"cool_stuff, health_beauty",2,1295.79,3.5,12.053385416666668
"electronics, telephony",2,1285.1,4.0,6.981811342592593
"furniture_decor, health_beauty",3,1213.02,3.0,4.755520833333333
"computers_accessories, telephony",6,1193.36,2.1666666666666665,12.261329089506171
"baby, garden_tools",4,1190.12,3.0,8.51896701388889
home_comfort_2,22,1131.41,3.9047619047619047,15.075745475589224
"baby, housewares",5,1122.21,3.8,9.745969907407408
"furniture_living_room, office_furniture",3,1097.87,3.3333333333333335,14.647935956790121
"art, furniture_decor",5,1082.1200000000001,3.2,6.002921296296296
"furniture_decor, watches_gifts",6,1060.4099999999999,3.6,8.388304398148149
"health_beauty, small_appliances",1,1036.74,4.0,1.930289351851852
"construction_tools_safety, cool_stuff",2,1034.7600000000002,5.0,12.561024305555556
"health_beauty, stationery",4,1022.45,1.5,6.879421296296297
"housewares, small_appliances",1,1020.19,1.0,5.4200231481481485
"auto, housewares",2,986.64,1.0,30.848547453703702
"cool_stuff, telephony",5,955.33,2.2,11.949368055555556
cds_dvds_musicals,12,954.99,4.666666666666667,10.920239197530863
"drinks, health_beauty",3,938.4200000000001,4.666666666666667,5.41465663580247
"stationery, toys",6,935.1800000000001,2.8333333333333335,11.744332561728397
"computers_accessories, cool_stuff",4,899.28,4.5,10.840674189814814
"electronics, home_construction",1,891.8599999999999,5.0,18.820138888888888
"furniture_decor, office_furniture",3,888.24,3.0,13.811087962962963
"auto, computers_accessories",5,868.06,3.4,10.777400462962962
"office_furniture, sports_leisure",2,867.0899999999999,2.0,14.092569444444445
"cool_stuff, watches_gifts",2,842.0900000000001,1.5,8.470914351851851
"bed_bath_table, garden_tools",3,841.89,4.666666666666667,7.802291666666666
"small_appliances, sports_leisure",1,814.37,1.0,5.896574074074074
"computers_accessories, housewares",4,738.27,3.5,9.447931134259258
"electronics, watches_gifts",2,725.26,3.5,7.707708333333333
"health_beauty, watches_gifts",3,712.26,1.6666666666666667,4.674236111111111
"housewares, stationery",4,699.4,3.0,12.831961805555554
"health_beauty, toys",1,692.59,5.0,1.0305787037037035
"auto, sports_leisure",3,689.38,1.6666666666666667,11.911153549382716
"computers_accessories, luggage_accessories",2,675.31,2.5,11.347320601851854
"cool_stuff, furniture_decor",4,674.97,2.75,4.450575810185185
"sports_leisure, toys",4,658.26,4.5,8.921744791666667
"bed_bath_table, costruction_tools_garden",2,633.17,1.0,4.719259259259259
"computers_accessories, sports_leisure",2,621.11,4.5,5.146064814814815
"bed_bath_table, furniture_decor, office_furniture",1,614.21,3.0,4.940891203703703
"cool_stuff, tablets_printing_image",2,599.55,3.5,4.438871527777778
"housewares, kitchen_dining_laundry_garden_furniture",2,596.62,3.5,4.6675
"baby, construction_tools_lights",1,588.14,2.0,10.50523148148148
"furniture_decor, market_place",3,580.71,4.333333333333333,7.440586419753086
fashion_childrens_clothes,6,568.8,4.333333333333333,9.422712962962963
"bed_bath_table, toys",2,565.52,3.0,4.435266203703703
"bed_bath_table, electronics",2,564.7300000000001,2.0,11.450989583333332
"furniture_decor, industry_commerce_and_business",2,560.48,4.0,9.982112268518518
"garden_tools, sports_leisure",3,555.94,3.0,11.786107253086419
"baby, bed_bath_table, cool_stuff",1,547.29,1.0,12.01917824074074
"housewares, industry_commerce_and_business",1,542.96,1.0,5.580011574074074
"auto, construction_tools_construction",3,540.3499999999999,2.3333333333333335,12.764155092592594
"perfumery, sports_leisure",3,537.37,3.0,10.727758487654322
"health_beauty, housewares",1,536.09,4.0,4.13556712962963
"perfumery, watches_gifts",1,513.46,1.0,18.451284722222223
"food, health_beauty",3,487.65999999999997,3.3333333333333335,8.242746913580246
"furniture_living_room, toys",1,481.95,2.0,1.9294097222222224
"furniture_decor, perfumery",2,473.25,1.5,10.683576388888888
"auto, baby",2,469.41,3.5,10.886979166666666
"garden_tools, watches_gifts",2,456.15999999999997,1.5,9.778177083333333
"furniture_bedroom, furniture_decor",1,453.88000000000005,1.0,4.802013888888889
"electronics, food",1,437.59,3.0,5.097060185185185
